temperatura,umidade
21.236692,44.540062
15.206352,63.523014
17.98277,67.66606
22.107914,39.40017
23.683743,36.590363
18.85101,42.842674
18.073227,77.41933
21.599918,56.91546
22.545412,30.317081
29.938534,21.135138
10.004352,74.493805
16.714983,65.32272
20.150774,46.167408
12.451727,69.032745
14.504907,66.599815
24.458422,41.684612
29.54211,29.776518
18.328424,67.395096
14.469584,82.77372
26.173174,43.173126
15.264039,74.48451
12.990672,84.32959
19.052351,69.79667
27.563654,28.486647
14.197724,78.39483
24.869411,35.31478
18.525269,70.09195
19.66048,54.460716
17.891165,59.509315
10.538454,81.912834
20.387087,57.07166
10.04858,72.52499
13.4481735,82.36537
12.131988,66.9194
17.847965,50.2842
8.729043,75.21956
26.512884,38.538727
9.880679,76.639
28.94764,21.183483
17.789711,69.550095
21.84933,35.95942
13.490336,63.39033
11.035231,79.011475
15.658548,63.649666
10.961046,81.52117
18.984304,68.831604
18.538176,63.321285
20.441404,51.017567
13.80553,71.10383
18.948162,44.356064
29.08603,15.481727
24.142212,35.33792
17.132343,64.33097
26.485811,31.02914
15.788963,59.278114
23.507185,37.66807
20.164434,53.986427
13.07792,64.78902
13.891969,76.84575
20.845854,63.39281
21.584787,42.56875
26.724207,38.420788
10.47391,85.12828
14.385239,61.424267
21.807972,27.711182
22.402378,55.733547
17.078932,65.31387
25.860096,38.882507
27.62352,29.943909
11.119891,85.352974
18.071524,68.39446
17.65728,68.90256
12.817578,87.61282
26.114132,44.646755
16.904121,56.677307
17.9684,51.849926
12.209218,70.75117
23.735252,35.5907
23.692522,33.48153
18.164137,67.86697
9.894809,83.43731
25.644619,38.521477
28.907238,25.095484
16.751757,73.463
24.389164,52.164986
29.017996,23.548092
26.663633,40.8502
18.459637,53.438637
15.717838,67.69816
15.415763,61.041515
17.231644,72.91539
23.909023,50.23289
17.717337,73.48025
18.469162,69.49101
13.780065,64.836235
13.712115,68.86927
27.021885,26.198992
11.583062,75.31409
26.022589,21.79407
16.856693,36.852943
12.411874,73.77118
20.601519,45.026943
19.0383,50.51974
10.627199,83.95464
11.084872,70.99332
25.395998,24.292522
7.9935164,83.379265
19.394732,44.050552
15.242074,70.55105
10.721346,87.11385
19.612778,53.306786
17.159306,40.26515
27.428541,30.85662
18.566677,53.29582
24.444395,43.903854
18.189041,51.457718
23.410114,40.62532
18.224503,72.59599
18.32956,37.224697
12.601281,70.74095
12.903146,84.543175
12.411248,73.489525
17.15445,49.260056
23.743132,42.175934
17.57153,73.01678
19.80495,64.61657
16.441816,54.602524
31.800215,17.912205
29.165352,24.837234
24.780941,46.915787
15.479503,78.09884
19.614391,73.21088
12.802316,77.79667
15.696542,63.614597
14.0913,85.554855
15.29821,50.545837
15.850194,77.82863
14.335842,70.38934
16.743093,77.30497
18.214474,54.982815
22.8848,38.570686
26.242859,37.922623
11.269804,68.188225
14.701536,75.04294
18.754787,71.16443
28.262497,28.46549
23.661602,26.591776
18.33047,49.623215
19.392284,34.442257
17.960659,49.013634
28.11413,32.812805
28.786142,23.814634
19.780226,61.988018
17.420599,49.755756
17.57167,61.26784
26.450617,29.50527
23.604162,36.550514
19.12206,66.51712
9.528247,81.61348
17.272406,42.273056
16.42209,73.081345
30.75335,20.712755
19.117874,55.26591
19.810284,49.234142
14.488902,79.94599
15.265026,63.28035
12.964657,85.36622
8.194649,75.800964
16.558498,76.914955
15.405096,82.40108
29.159084,19.753359
12.153611,73.51158
19.76023,56.047245
18.732386,41.914036
14.230782,79.66433
22.785223,59.733185
18.947062,61.135452
18.703215,71.86162
20.57091,29.044312
14.872433,62.787838
17.128443,51.730564
9.663939,71.70356
15.047118,81.439835
10.599516,76.32397
14.148325,63.12091
30.023258,28.074278
17.858925,73.23427
19.628675,47.709827
29.220675,18.34419
21.153027,60.576893
14.621117,70.45526
11.968728,89.10012
18.679636,76.35838
15.465812,58.605434
13.634089,73.903206
17.513725,69.47362
13.910417,80.1334
17.800072,66.65664
15.460902,65.619
12.285036,67.03578
29.392765,27.355927
18.745249,51.582573
18.369875,59.152378
18.379408,65.44887
22.41569,57.661335
18.574467,49.802876
23.779366,43.875076
12.155345,70.304535
25.211843,35.93603
13.141041,84.532814
13.512621,77.67323
14.295732,84.776375
27.41463,35.732956
20.140574,45.70934
19.246977,45.809967
24.04713,35.87736
18.897274,35.282078
11.196714,61.150215
13.313506,81.475525
8.399543,74.69253
18.44482,49.5972
17.394684,58.10162
15.159322,58.772793
18.274094,46.426407
16.18158,80.556046
14.4556675,87.65961
27.638273,29.01432
20.692944,38.61317
24.533735,37.38471
21.506525,55.64915
12.128977,69.04251
8.899607,84.73741
27.228727,26.072948
24.91526,47.35322
29.268356,27.5054
23.655434,50.607544
17.175379,58.93188
28.077917,33.525864
14.456278,78.020256
18.390583,65.011856
17.972204,45.281322
23.044554,36.002872
14.314948,87.08534
14.608484,70.88706
18.799726,71.257286
13.751099,62.573025
17.938704,52.76229
14.680254,77.337746
13.54936,77.135475
9.220091,73.050644
16.924055,63.567253
25.448467,28.683685
19.248785,43.27651
13.922674,62.97335
9.752387,88.61812
25.266079,44.911057
18.900007,62.479874
13.3253145,81.12893
19.155922,44.577873
30.772514,18.524763
17.429462,54.03475
10.124686,61.093975
26.946272,30.973404
11.288144,79.99649
25.424387,29.293797
8.064986,89.14403
29.14444,26.295656
19.465214,65.04602
13.402794,91.478096
14.219878,73.325325
19.601135,40.876392
19.073082,64.59904
13.437377,87.37801
20.648676,47.340527
13.337652,62.57092
22.241486,32.237385
17.434076,40.877182
16.797503,49.86607
27.804152,20.417887
20.635391,44.67
12.775086,81.39249
29.226158,24.270973
30.995602,16.760118
14.3318405,67.846725
19.373243,71.68928
19.358948,49.61512
29.54087,26.707256
21.354189,56.490303
16.076519,63.72858
18.599768,49.82036
15.534933,70.48388
11.967765,78.04771
16.612782,57.348473
17.789682,47.925167
7.705478,75.67483
18.89975,44.258675
14.842581,75.39148
17.545778,66.317055
14.286195,69.89722
15.249271,76.12797
8.579273,73.993355
16.397564,73.9626
17.402351,65.21235
13.399104,65.71853
18.89337,47.776463
21.350763,33.74948
13.117512,83.16523
29.926413,27.33781
23.464891,50.845303
9.122033,80.11105
17.243921,75.14135
21.93567,45.515472
14.380916,56.48612
13.917351,87.34748
12.076024,90.51848
14.218203,90.63118
9.2689905,63.11619
11.573604,68.65858
26.722706,24.249842
23.176668,34.179016
16.613232,57.598698
18.982151,62.558792
14.652919,76.31895
19.07706,58.332035
20.829544,46.953163
19.9785,48.670315
23.732716,24.390139
21.20732,33.40361
27.159185,39.8265
24.022673,49.882973
15.019897,80.69703
15.807163,60.407555
19.486807,40.988216
14.830046,79.79692
20.75822,54.044773
9.7556505,88.651474
15.786654,64.22023
14.705035,67.87587
16.601055,76.60834
21.16891,54.47069
15.508367,63.042984
17.062197,78.41972
18.582825,67.11287
26.996927,35.70616
21.625813,37.685074
23.294722,45.940548
17.66978,72.36273
17.617407,55.534
25.56464,27.69325
24.932905,28.012281
11.629168,69.15032
17.508669,65.52985
23.5372,49.250168
27.700054,20.511452
18.436768,66.40599
24.940155,36.8225
25.683716,36.990986
26.180628,35.862423
19.496466,34.923874
23.61629,45.518963
17.363283,47.97008
19.724232,43.969025
18.486263,50.476696
16.026846,78.34486
18.980347,60.827366
19.882555,42.68285
24.41881,36.01492
30.552752,22.467201
12.944299,89.68317
15.811601,75.006905
31.137428,19.163357
18.820276,63.19954
15.371485,78.65846
19.746857,68.021774
12.375191,65.450615
25.65637,47.51343
29.322912,23.079744
23.563288,38.86691
14.513741,81.69585
12.441021,83.046745
21.382801,46.846878
22.566677,30.506935
30.723684,19.388971
19.489187,68.86648
18.50733,68.73596
14.965464,77.27268
13.131046,85.06204
15.059068,62.97141
14.027992,67.89817
28.172073,30.03981
31.087683,22.796574
17.577143,53.481373
25.748587,47.410343
16.92843,76.18526
26.383898,34.187923
15.064554,83.46652
26.465332,34.76375
16.361452,68.14006
18.814184,47.95166
12.622969,65.92901
14.5221815,65.22746
9.230993,74.55694
19.446049,56.877716
16.920534,45.07819
13.160484,75.97908
19.209997,44.090893
31.066935,15.484578
29.744268,18.935568
22.050228,56.324894
12.699233,70.474106
14.328135,78.219154
13.301773,68.11356
10.626123,52.284134
14.366883,73.41259
24.016153,45.39989
25.959215,42.44027
16.44821,71.5504
15.041119,75.61881
18.7258,49.712193
16.30771,54.4994
18.53213,55.641403
28.153353,36.083202
15.124896,82.566315
13.928919,84.5467
17.856829,73.53706
16.2746,48.848442
11.08906,64.99607
10.385465,60.07271
23.295721,38.12771
12.45978,69.98509
17.043964,60.651943
13.3606615,63.305923
16.265013,72.1692
26.708273,31.484518
11.271143,91.270294
22.96134,43.143147
13.265395,66.14248
18.261047,70.25036
18.214798,66.13253
29.546652,29.668276
20.464275,39.597183
16.783188,55.4117
12.909327,73.307655
15.623207,70.90362
17.3346,76.300835
12.65235,70.853165
14.103762,65.1921
16.2702,66.41537
13.881399,66.562096
26.711185,35.741905
17.857008,61.694088
18.473661,42.39272
19.036982,66.35587
22.6342,46.823402
22.018705,44.444363
19.954418,45.366253
27.578865,25.610699
10.85634,60.915432
17.521347,57.591343
10.236788,71.78979
16.850666,64.14064
25.587296,29.299631
23.387934,30.930862
12.425363,74.21495
18.940948,52.22937
31.39362,18.506874
13.5436125,66.3703
18.685814,61.235394
13.295229,60.513424
19.81446,46.507446
13.652673,57.443375
14.978359,72.45438
20.307335,41.014275
11.909723,74.05328
17.799614,72.162384
19.8776,56.04646
14.537283,84.12224
13.38402,88.50874
29.296543,22.426563
14.972452,57.074043
30.972597,17.872145
14.905796,80.086044
21.350397,44.887466
19.68886,49.266663
18.410362,55.01378
14.389889,66.63455
15.7674885,57.632874
12.121559,70.71421
13.469053,74.30598
22.560698,41.585953
10.428966,75.14576
12.266379,75.73647
18.614874,51.610126
17.822268,43.64001
16.441832,63.467857
26.497255,31.918821
13.171418,90.763054
17.59561,55.691486
18.618752,45.69647
28.808498,22.530935
15.637833,69.29405
28.341085,23.504799
19.248604,64.15739
16.834463,63.79579
16.544237,54.814472
13.789796,82.69049
18.391518,49.31296
13.282931,76.329475
26.639688,24.625448
20.005816,42.385197
11.935028,70.33364
15.326483,61.28212
12.44367,64.6905
13.065287,68.00691
31.600424,21.211727
15.596609,75.85932
15.313664,41.05358
29.159712,18.416075
21.378336,64.09627
13.584534,76.01976
21.821007,45.712883
15.887249,76.58631
26.275898,45.417397
22.097458,33.43953
22.999321,40.56074
9.2953615,82.446556
22.93343,30.550255
26.112488,22.392752
8.079116,86.17097
20.961554,41.47465
20.760542,48.99308
18.671238,60.808815
18.41725,42.20736
29.490232,22.324663
8.820217,67.96805
26.660278,29.462072
14.417219,72.01543
18.898909,43.667274
18.84922,47.313763
21.778011,44.37555
9.460304,90.72184
23.302835,52.977478
26.112564,48.741505
9.7818165,87.185356
16.628668,44.914204
12.590691,64.28746
10.097104,85.04952
12.855556,69.563965
23.025278,45.06911
15.0384035,67.5319
13.538025,79.8273
29.509188,17.633284
14.766775,66.06164
23.888035,41.071075
15.214162,63.274315
10.7048855,86.329475
28.094572,17.51616
26.617638,28.899925
17.546768,66.29607
24.587952,47.446407
21.67045,46.780666
23.872776,37.964664
15.251184,64.812256
13.788674,64.59544
25.98633,35.567253
18.173988,61.509693
11.195382,71.394585
18.198687,66.0394
14.264218,82.14024
10.854233,71.19714
20.05583,40.702606
14.14096,80.71466
14.274317,83.107635
14.33894,83.0178
17.135775,63.631184
16.737013,65.824066
13.459821,64.488365
14.550287,66.83416
15.823031,43.217064
9.158321,82.49883
9.81334,81.84308
8.773551,88.95671
7.276388,76.48741
21.15689,39.590374
28.701683,22.744892
21.821804,51.665768
13.440352,75.2981
28.34007,24.964684
17.864834,73.14079
18.219723,44.014988
21.08393,40.362755
24.615314,51.514294
16.366623,79.30749
17.019112,55.250465
15.069391,86.226585
24.739157,41.088486
22.703081,30.02722
16.595648,62.08344
20.305317,45.480976
16.318739,65.46296
8.015331,82.73014
18.390991,56.432106
24.57689,49.31815
22.568714,51.326427
16.454784,58.97206
22.913866,25.036232
10.663401,72.831474
26.163418,45.069252
20.270319,45.954685
14.224993,77.3816
28.170353,27.46336
18.572117,43.73574
14.061816,68.8307
27.17029,26.18241
22.397142,35.551315
24.110115,36.040726
10.405654,75.653046
14.223902,71.91913
15.863237,62.320213
10.017342,86.777504
18.713829,46.17688
14.422637,77.220245
14.143093,89.672714
17.354353,61.88031
17.404846,47.39862
14.520845,61.87024
20.011602,46.904137
24.839224,49.803135
14.605941,69.39833
27.096231,37.349583
22.515715,28.301752
31.788158,19.138674
17.05521,58.737118
27.845686,38.40767
19.584684,65.6453
30.253164,21.014988
11.127312,75.47936
13.526522,90.418205
16.409073,56.747032
16.246658,58.185986
26.413767,32.790737
15.170143,67.151566
16.620861,72.14033
14.932759,73.11434
25.514606,41.006866
18.260977,59.615253
25.229748,32.811115
15.171984,78.373184
25.65065,27.11595
11.711242,76.79482
14.34136,88.06196
18.917719,52.130352
18.655827,49.249344
17.957914,41.681793
14.655283,76.35481
13.087494,63.62981
22.164663,49.567883
25.71978,37.509922
26.964083,31.468214
11.913193,88.52294
21.695026,39.89023
17.326338,71.86306
25.71258,35.275303
14.498668,71.72174
21.038452,45.101475
17.71613,73.88024
17.291565,57.407578
15.830415,62.89948
25.563238,24.444426
9.233112,86.92172
17.701548,62.044186
25.656195,35.351906
18.268774,62.418854
24.761795,42.227383
20.74168,48.499382
19.740742,44.531384
14.256353,66.38584
28.20756,21.981361
17.983892,51.926296
15.894637,75.80162
18.48497,68.03777
25.706114,49.485035
17.627949,49.471073
14.152657,80.80297
23.997591,45.89397
26.87742,36.206192
15.086648,73.22194
19.772049,51.930054
15.800626,84.663414
26.460203,41.088108
18.261587,64.08855
15.471118,84.443954
16.601013,73.38112
24.424133,35.73034
17.548948,54.505417
16.702223,62.268475
16.692987,41.279064
17.104504,59.650997
18.559351,70.59505
19.916895,44.947884
14.176597,58.907566
27.907738,22.484516
11.706301,70.8748
23.35012,38.16815
23.125214,23.246864
17.116299,58.91358
9.751292,86.93125
17.031727,41.079014
20.523014,54.281727
22.721617,22.499737
18.34117,66.822395
13.6726055,89.748055
20.574488,46.76749
28.322004,31.385437
13.416255,88.75199
13.88285,69.68585
14.429936,80.08431
14.796383,84.260475
19.658022,43.250614
15.204364,76.53547
14.613271,54.37324
25.532118,46.810593
19.202347,73.714264
18.73154,55.515625
20.56938,43.829994
16.519033,64.910095
15.169518,59.294712
20.190363,42.703506
28.421835,28.083977
21.250294,50.271408
22.600723,24.821814
15.981797,67.92457
21.46495,31.213177
18.831348,65.38921
16.84483,61.245316
9.985715,73.29323
21.20783,47.861458
15.656221,67.88445
15.097181,71.05547
11.760701,78.52954
15.894566,79.57162
14.869379,63.35873
19.032745,50.17987
28.014582,25.205757
16.9037,70.80255
25.986826,47.502605
24.482431,22.91517
14.356147,52.509106
18.761208,56.15396
12.848542,69.37277
18.988667,52.914597
19.224907,43.874428
19.342339,43.278408
15.602586,86.32073
14.464747,63.029152
12.215331,88.84358
14.649529,59.260834
17.608583,66.7327
29.801476,26.725286
30.109104,18.972364
14.470983,87.34928
13.171235,72.33079
19.250135,40.323925
17.548105,57.703876
15.269634,79.91007
14.966135,59.658466
17.313988,52.76073
16.16258,66.190735
20.311651,38.311672
20.839518,47.340984
17.536177,63.759407
19.554699,44.204338
15.987939,55.790318
25.024014,48.590843
22.212057,55.50502
15.238655,70.994095
13.022095,70.03939
25.044672,29.788883
19.042463,58.522728
20.95706,29.915714
27.680643,22.575796
11.935446,78.63806
19.889837,66.32463
22.69073,40.188084
28.712587,37.10212
23.279602,48.581062
22.234953,41.191086
16.88963,58.83395
19.437864,56.54431
28.02238,28.903656
21.108686,63.494473
14.001528,85.916405
22.837172,40.47836
27.210348,27.758121
18.873207,40.671654
13.513418,73.26834
23.247648,52.5074
26.780582,41.688107
26.801462,28.215345
14.914283,70.91536
17.463366,73.58692
23.270346,44.09329
19.770884,31.077175
28.373672,18.70766
20.614761,61.047375
18.82987,63.40898
19.493052,45.442936
24.44068,46.92845
21.485622,57.81723
17.609749,32.002697
28.51951,23.239948
13.922834,63.99098
22.755035,31.719969
24.749397,41.62129
20.990538,41.63915
22.199474,65.49356
17.851122,59.931866
16.922253,51.937515
18.098778,48.642044
11.671983,67.28563
28.370234,23.998543
11.026893,85.6011
23.134796,26.084606
