run,engine,elapsed_seconds,max_rss_kb
1,nativo,.10,11212
2,nativo,.10,10988
3,nativo,.10,11240
4,nativo,.10,11020
5,nativo,.10,11144
6,nativo,.10,11312
7,nativo,.11,11164
8,nativo,.13,11256
9,nativo,.10,11052
10,nativo,.12,11052
1,wasm_interpretado,18.97,100012
2,wasm_interpretado,19.12,99856
3,wasm_interpretado,19.34,99784
4,wasm_interpretado,20.60,99832
5,wasm_interpretado,21.67,100020
6,wasm_interpretado,19.44,99864
7,wasm_interpretado,18.82,99872
8,wasm_interpretado,18.89,100004
9,wasm_interpretado,20.67,99840
10,wasm_interpretado,19.77,99792
1,wasm_aot,20.88,105156
2,wasm_aot,19.37,105000
3,wasm_aot,22.16,105012
4,wasm_aot,20.97,104984
5,wasm_aot,19.35,104964
6,wasm_aot,19.36,104960
7,wasm_aot,25.87,105040
8,wasm_aot,25.05,104964
9,wasm_aot,24.35,105096
10,wasm_aot,24.69,104924
